,BUSINESS_ID,STARS,val1,val2
0,x5vSE0-NO_YSZtOnitLWuQ,3,60,300
1,rt-EKmn8xpUuWdePYPPcHQ,2,40,200
2,KcbFFh7xfBLl2YeXQRhUNg,3,60,300
3,wHeG9RYU3_k3wlCgkLGDRA,3,60,300
4,XvTBQotmJpVPjPNaMM7qLA,3,60,300
5,x2nALssJGy_6p74ddxx3GQ,3,60,300
6,TRJHqPTKFFFglV0OGXS3Ig,2,40,200
7,oaOT2G5mIE8yOPZ55RM4cA,5,100,500
8,AJ8DDFm6QaihAPZI3wFBHw,4,80,400
9,sKWZ_tAOVMZoC4Qk8_Bd4A,1,20,100
10,UY13CTgUqriT-fMxT2APLw,5,100,500
11,p4GMQauk2iqZnN6cj81s3g,2,40,200
12,4Iak803d4fyY358jSMRasg,4,80,400
13,DTvcpHf2gGKgSujUVXA7sA,1,20,100
14,9MJDPVeLqAWLqdWF4Heqvg,3,60,300
15,QYIhMNwxXejDoCr-F1BxDg,4,80,400
16,Wnq5to0-jXyh0-_jRZ6VOQ,3,60,300
17,-cBQKodqi77Q0vk-9iDvQA,3,60,300
18,yVLbAdSQQURBNWsJIxzmfw,3,60,300
19,qBMQUR66_7pmld8NmGxVFg,5,100,500
20,IUTU_8qM7M8j9A1TbmMjYA,4,80,400
21,8F-CalsRSKiPjjsx8ql8Lg,4,80,400
22,qgAZPDQStZP_Y5XTiQ6UqA,3,60,300
23,P6c0lV9DeJ6ofntpTWyqhA,4,80,400
24,21fK0m8sQFbRQv3RlskE2w,2,40,200
25,XfNDmxQiG5nZVZe-JY10NA,4,80,400
26,6Z3lZEEIKv6opbyavmnGbA,4,80,400
27,ndQTAJzhhkrl1i5ToEGSZw,5,100,500
28,HlkjT-4MXW_efuEydjrR1A,5,100,500
29,YMZy_nGxtJtuQvflM6Ltww,5,100,500
30,2rLuOMi6Q6zzqUU8ltreSA,1,20,100
31,JzOp695tclcNCNMuBl7oxA,4,80,400
32,0TBTV3q6QXCn9vNhy3Xi2w,4,80,400
33,Hr5h_LG9TMBLlFz_Oici0A,5,100,500
34,sZf_KrF9ZLC7z4jiLGgVOw,3,60,300
35,ZHQU79PMUGCX0fEoyCcWlw,4,80,400
36,0U-1Wkl7y-wv39qM6WKL_w,4,80,400
37,RyJIi1IP0UQ5qGbwazgsIA,2,40,200
38,-yXkMzPPQ2PvzIC-NrH-Sg,3,60,300
39,GIhzzb9tjqLCYdNP_k3-dQ,3,60,300
40,vKgsXz3W4BIquVcgJs19sQ,5,100,500
41,zJCbSgXWFWwvKiIRFFuiTA,4,80,400
42,iikAHVLZrZn7Zy1aEPD25A,4,80,400
43,5jxn3_C5rjBow-aiBqcQNg,4,80,400
44,QBLl3bVLWZB4-jS-O_MKug,5,100,500
45,6a-EXpakLH9tLtv8SDWdWQ,4,80,400
46,T1tvWywCdTv8YiK-r_roLw,3,60,300
47,NmbBDuALeotUv01k7Qqr7g,3,60,300
48,QYIhMNwxXejDoCr-F1BxDg,3,60,300
49,Xwf022IffmZPq6V25iomDg,3,60,300
50,Se9dkAqNfBoOoAbKT0LEsg,5,100,500
51,P1Ks4okkg58xKTXLjGp4iQ,2,40,200
52,9R8Ia-EwSBJR5CUHN1K9yw,4,80,400
53,uO81UPtXJK9L0s1rOkwMjQ,2,40,200
54,BYQXVyuarIvLi32JzMLSVg,4,80,400
55,y45zdBlXT0Mr0gEfYOzXlw,3,60,300
56,DPZBuTuL7w5MVxsCEyQudQ,1,20,100
57,edVhUxTKz4nn5-qF7Ix_7g,4,80,400
58,O6obMXRKCnLMygvm2fSp0w,3,60,300
59,tkSk6jdenjbYEcqSchFR7g,3,60,300
60,pApEPv1-ApXee4GYYMB5AQ,5,100,500
61,SqL19z7A7LB91RkWWwWvnQ,4,80,400
62,TohJiJOsB7XwRyenaQel6w,2,40,200
63,g5l4vrFN03ob_zDDztDDjA,3,60,300
64,u4TVM_6Ya1FBRszxcBROWA,5,100,500
65,tWiFat101ID5w_wgAPMXhA,5,100,500
66,fZM_o3kKZ9mR-1pvBeow8A,2,40,200
67,_nB8HNT2IDRhlAoY9TPYew,4,80,400
68,bh0dRmSXjNWZLRys2VmW6A,5,100,500
69,dDZqtA1me453GrMtpcpYOQ,3,60,300
70,tVVZcFFt3ZlWVE7nptN3EQ,3,60,300
71,ofAbFXOMz2-Di7p2oDsfhQ,3,60,300
72,hRL_qCrcu9UL773su0QabQ,2,40,200
73,_9SDJqTh8z0t3WZmVvbnYA,1,20,100
74,JzOp695tclcNCNMuBl7oxA,5,100,500
75,HgJGwePlWjhzOEL028pSig,1,20,100
76,momjERcb6G6ienrfPuNArw,4,80,400
77,PRbIMseOwPCCRv5C4SfTDQ,4,80,400
78,D3ehpx1uKG5aLuaJgztYDg,5,100,500
79,dSEpkUP_RuR5gG_LhJ_INA,3,60,300
80,5FIOXmUE3qMviX9GafGH-Q,3,60,300
81,fCaJNz9ff4x0x46fPA8nXg,2,40,200
82,jGKcrKCPZ7wtFticJ6KZHg,5,100,500
83,V-dxglt0zIcBZzZ-4gfgAw,2,40,200
84,AqYLbchnIxVSBdUJuLVdrA,1,20,100
85,Jzth-y32SyvOhJNgbIPTqQ,5,100,500
86,afrS2T04mfdWHYxuK-2knA,1,20,100
87,y78qakVvpdRgIzManeISAw,5,100,500
88,mZsvMd5RCat1d3KMSD5tsg,5,100,500
89,0TBTV3q6QXCn9vNhy3Xi2w,5,100,500
90,Q3G58vv1ClvH4re9QBsVgQ,3,60,300
91,W2CzAePJakvARgoQuohbOA,5,100,500
92,giLPHHPabZycyoNHoP35Sw,5,100,500
93,OzkK-4IqoBqqIZIdhVJXQA,5,100,500
94,1wiv2BvvauMj8hS16UuEYw,4,80,400
95,mKRKhFuJX4nhJykUvZO8hQ,4,80,400
96,jlbP9Yd0AQP8OlcsFkZ4hQ,4,80,400
97,I9VW1y9hmHKAtaO0edSyzA,4,80,400
98,4z2evNWOBm7b4-7Td0392A,4,80,400
99,O0VtL9uyf0CY1Yq-kZT8fA,4,80,400
100,WCE7YEBV_jOk-KaIEndrGg,4,80,400
101,ZhjU0FkCIaG43F83TwSN8w,3,60,300
102,5FIOXmUE3qMviX9GafGH-Q,4,80,400
103,hRL_qCrcu9UL773su0QabQ,3,60,300
104,Md_TTNUkO7U47b3cass4gw,3,60,300
105,mbnU0WTmBcYDvUu0ch6O8A,5,100,500
106,oYfzCy8kUkALFa28og_OsQ,3,60,300
107,IvbVnHO2Y5w4b61rJ5xHaQ,5,100,500
108,kzQ7vylNAQn3w2JGBEluPg,5,100,500
109,r0rtl4OsZy-F099jeO_DKA,3,60,300
110,iUaxM9t-ZcdTjI2Zx_3vEQ,4,80,400
111,jiOREht1_iH8BPDBe9kerw,4,80,400
112,oaOT2G5mIE8yOPZ55RM4cA,5,100,500
113,BaPKO2rV_uaOtRliKtaFcQ,4,80,400
114,oVAySgyWYzzmvJpTJ8PO5Q,5,100,500
115,tamr4J75GguGhF1hm1wEaA,4,80,400
116,XvTBQotmJpVPjPNaMM7qLA,3,60,300
117,2ZUEOFbbwTjrvkTEVXAdPw,4,80,400
118,AfN3Z1U6QPEgAb5F2CQm8w,4,80,400
119,sKWZ_tAOVMZoC4Qk8_Bd4A,4,80,400
120,9XSF1vFyteVhj9sbD2DEAg,5,100,500
121,RzLlGTOFQZyoFgEpk0Ik0Q,4,80,400
122,-mklrNaGHec-ZnTAsBtilA,1,20,100
123,-jCh1266UulWxTtUpUiDFw,5,100,500
124,uIE9H0cz2AvxorEqy5cZ0w,4,80,400
125,63dCBZQILHR-QogyKXnvXw,4,80,400
126,dEq4Yj50tWOSzxqXloahsw,5,100,500
127,4Iak803d4fyY358jSMRasg,2,40,200
128,Zz7XBdd0Eu9JZgamvIBFzQ,5,100,500
129,U6P56MjLrraN0JBNvOjxaA,4,80,400
130,MbAsfN3wwV22K7GZsgcBqA,4,80,400
131,d3C5QTYpZCdp2pV1Cq5G_g,4,80,400
132,vzJ1z1dPKFsM9zoTv6tL3g,1,20,100
133,mKf7pIkOYpEhJTqjw4_Fxg,4,80,400
134,nhOCUUgFa1izAiWVKAxhCQ,5,100,500
135,2UZ4nBPHew9nKWcQyeG0TQ,5,100,500
136,5FIOXmUE3qMviX9GafGH-Q,5,100,500
137,TT4XW2WMG0PNyUIFBIINuA,4,80,400
138,EVbEdWYLE9GDpVG97MGw-w,4,80,400
139,dimv16yFu0JXR1n1SAqedQ,1,20,100
140,wl0QZqAzr1DelslQ02JGCQ,4,80,400
141,wXsccicHhEvNssIJhdmS2Q,5,100,500
142,Oh66jkE6zCIIBDSEBwz0Cw,2,40,200
143,L2iT7pipc455Tgpbo35_mw,1,20,100
144,WF0bsux--lnBfV95xmGTpw,5,100,500
145,6t7mlTVjDA9fhuFAZmVzAQ,1,20,100
146,DS0E9qEyVTyV_BGWoPgjGQ,5,100,500
147,mtBAaQ2xarcjZtPbLhar4g,5,100,500
148,mbV5FSZjiUViAdwcYRY0Rw,4,80,400
149,iBihgoxc6Ot7m2D4D3z0QA,2,40,200
150,i631pRlq0u29VvaMshW67A,3,60,300
151,W2CzAePJakvARgoQuohbOA,3,60,300
152,JhEtJbGjAqKDHCZ11i3qoQ,4,80,400
153,gDOuHjntsN37XEjROoQ2Aw,5,100,500
154,2q2gGuigGrCFmx3juLAVww,4,80,400
155,NUhHkT1wfXsTLxt_tWwVXw,3,60,300
156,3JnO3AEqRD8DbXkWP-gTFw,5,100,500
157,8F-CalsRSKiPjjsx8ql8Lg,4,80,400
158,366FaRQ1MWEHBhaEKTcriQ,5,100,500
159,tIauOelAC3BZk_xhMoDBUg,2,40,200
160,U6P56MjLrraN0JBNvOjxaA,5,100,500
161,OMxgLbrSCEU12265nz9JVA,4,80,400
162,hIgGkG1JnHX4xmVuOgegDw,4,80,400
163,ZvtELJTUOh0yRrPxyyiakQ,4,80,400
164,AbnpKkW0mpv34jtRps4C0A,4,80,400
165,P6c0lV9DeJ6ofntpTWyqhA,3,60,300
166,ZO2-nQjKZBoZUSOzJb4CUQ,5,100,500
167,tWiFat101ID5w_wgAPMXhA,4,80,400
168,RMtnJYAAiXmUFrMngttEoQ,4,80,400
169,5J1SoLkAM2zAOKqrRB7rCQ,4,80,400
170,AgE33nKGtNLQkCKQBW44Tw,5,100,500
171,5FIOXmUE3qMviX9GafGH-Q,5,100,500
172,CO8MpD1bSkBPArXKBKkIfA,3,60,300
173,1zsM7weLS8fNHomDAqCh4Q,5,100,500
174,ndQTAJzhhkrl1i5ToEGSZw,1,20,100
175,aiX_WP7NKPTdF9CfI-M-wg,3,60,300
176,3vta1BSPwdSulcCFMpBjDw,2,40,200
177,CMCAZVvZlP0ztWo6fhwnGg,2,40,200
178,neO0lOx9YE3r7SvVkmpS8w,2,40,200
179,fZM_o3kKZ9mR-1pvBeow8A,2,40,200
180,NlxSKTGm2khkYloVMoKlRw,5,100,500
181,7_08jLr277WpzXkcERXhjA,3,60,300
182,ydt5yifyYhF5s430llv_Hw,1,20,100
183,5FIOXmUE3qMviX9GafGH-Q,5,100,500
184,46QWVor8H5eUDNYnx-fMnw,5,100,500
185,pD6Eg5iI8zgS1YZZYk0TVA,5,100,500
186,RyJIi1IP0UQ5qGbwazgsIA,1,20,100
187,DPZBuTuL7w5MVxsCEyQudQ,4,80,400
188,gONNfEoNaRLNtgaAcxwsLQ,2,40,200
189,fKRKE4XQzOCgddSSQAESTQ,4,80,400
190,aVkVDJ01OgvNwhlCUz_bng,4,80,400
191,SurnOSM2bVVN4-Js3G23RQ,4,80,400
192,gVVmLRUrAf-mqgndol3rUw,5,100,500
193,jJDKPJLzkoPeytWIzstJrA,2,40,200
194,v9RoRhf64X5E06gdqeudFQ,5,100,500
195,_XptUzewghAxa0_4R7br-Q,5,100,500
196,BTf8sELl1TjovRc0f-tgJg,5,100,500
197,qOd7QUh-sIB7zN7RbP1-qw,5,100,500
198,Gw-ozqLSHoP3BQPKaiXJGg,5,100,500
199,8RZf-eJI5J05Qu60TD_6fA,5,100,500
200,gWqwzJTx8g588U3f7BkZnw,5,100,500
201,EVbEdWYLE9GDpVG97MGw-w,5,100,500
202,4c-O3t8I-JxfUGJDUwvj6Q,5,100,500
203,UBQRhqRMW4Sk7kSZvZ1iAQ,3,60,300
204,1wiv2BvvauMj8hS16UuEYw,3,60,300
205,HkbNItNrnXlNo59M0YyoMg,3,60,300
206,FzwAT5zi8hy5kJ79HaKJPQ,1,20,100
207,DVaTciFGcCXLHTufHZM4_A,4,80,400
208,7ef7jYhmfbxSI7s57HoJAg,4,80,400
209,UhCSu92r2XVPmhQET1c2Bw,5,100,500
210,hRL_qCrcu9UL773su0QabQ,5,100,500
211,T3y7m50JXsf8HI66L4f72w,2,40,200
212,tduDcM1hWHPeyQ9SRPTQmQ,4,80,400
213,jN00dj1opLMyFczkCTptqQ,5,100,500
214,i631pRlq0u29VvaMshW67A,1,20,100
215,1uCoWygbmehTJP8Su_3QVA,5,100,500
216,rIHt5dCEPotEn-gy6IUT_A,4,80,400
217,cbLEGyROMNKbOZpEah3seQ,3,60,300
218,XWiL_1CtBWmd1unCiWj_XQ,3,60,300
219,E6Cb9EwRyXQrIpJqoT4nSg,3,60,300
220,4yIOZXIYJiQlkqW_MUtVgQ,5,100,500
221,Z96TEJDXyUhCerS-9QllXw,3,60,300
222,AZQKMMvX9m1-uTdLPMzK3g,4,80,400
223,CMCAZVvZlP0ztWo6fhwnGg,2,40,200
224,aiX_WP7NKPTdF9CfI-M-wg,4,80,400
225,fE9SP84G6TZrv36FLbCy7w,4,80,400
226,RN0PTeMSF_eaeXN6VV7RwA,2,40,200
227,NUhHkT1wfXsTLxt_tWwVXw,4,80,400
228,Rj3wnYT1QAxpJlRT5mMc-g,4,80,400
229,Dqzkdf0sz8lm9AFjfsDmIw,3,60,300
230,uKKNw68mZZaa1jcyszEbyA,3,60,300
231,gp9ZESRRNLqWfgJtEzPThA,4,80,400
232,futvxFkM42RYxXr8ROogBQ,4,80,400
233,OJBn0HFMvVB9TDcr4OLttw,5,100,500
234,T3y7m50JXsf8HI66L4f72w,4,80,400
235,l8X3I6h4EdDR-Fv_KV8joA,5,100,500
236,pHpU8lnnxMuPWRHOysuMIQ,3,60,300
237,ZpdSgmF55vELLYl4b26tKw,4,80,400
238,3KFWuiz8lla9SospgQn6Yg,5,100,500
239,AtSEe-B2mFmLFHBf4PLTrw,3,60,300
240,QYIhMNwxXejDoCr-F1BxDg,3,60,300
241,GB6bZTCMmqZncRSxurNblA,4,80,400
242,NxjUiGBNgyDErKXnmQ3s3w,2,40,200
243,4yIOZXIYJiQlkqW_MUtVgQ,3,60,300
244,8XFDd4uX-g5B4JJzIahPHg,5,100,500
245,Crhm6oKCj7raPlakwltbVQ,4,80,400
246,qMJyOW1FdPOf8sli8DIq_A,5,100,500
247,lx_HJMFpKEZW-e9_-LyuQg,3,60,300
248,4fbH3Yr1D5r5-QD-HReDlg,2,40,200
249,bJnikvRTWIoGp23TfQ0BTw,5,100,500
250,0x2qB4R790SX3W4W8FQuWA,5,100,500
251,ROMFVEFKEYi7qhyITX6jfA,5,100,500
252,_uMRu3765QYo0Qg1z1LKqw,4,80,400
253,HJLiVxuvtN0n73BASSZKoQ,2,40,200
254,2rLuOMi6Q6zzqUU8ltreSA,5,100,500
255,rX9k0BJ0OM1zGKXKjfXZQA,4,80,400
256,IWOQNyRqWrnqQA5K49eK5g,4,80,400
257,Pd9cq5LkReRCNsgyh19wJQ,4,80,400
258,QjZNLqhYjGSSH3yyjB8fmA,5,100,500
259,8B1TIuaqhaZ7QMEhDUu-Gg,3,60,300
260,yvwK4MO2qnSZE5ggYGyk1A,4,80,400
261,WjVTG8dxmNpbvfKO0gH14Q,1,20,100
262,SurnOSM2bVVN4-Js3G23RQ,5,100,500
263,KXGkJy-s9W1re2sXqSqoiA,4,80,400
264,qgAZPDQStZP_Y5XTiQ6UqA,4,80,400
265,JzOp695tclcNCNMuBl7oxA,4,80,400
266,U6P56MjLrraN0JBNvOjxaA,3,60,300
267,CmgNyXaBPsn6hLLtWPL_qg,3,60,300
268,x60RbvQEFlvImnqzuBVk3Q,2,40,200
269,NRLsHNbEPpQfaAYS5OLGxg,4,80,400
270,izSn0Go-ObiSgc90B6hEfg,2,40,200
271,VDMRlQXba3OiCSCpKKTIrg,4,80,400
272,Wnq5to0-jXyh0-_jRZ6VOQ,4,80,400
273,wopyolJM2hOAt3dPRmahNA,2,40,200
274,kj1p6NwUGROOoqNySf0I1Q,2,40,200
275,6i_ai8qjYjhxDV988ZRWFQ,5,100,500
276,TjnyNxBUdI68LIXggWOmvw,5,100,500
277,zDyv4CoaYvAgQhgr1IK1sg,4,80,400
278,SkZ7f-zFsKrthhhppDn6Tg,2,40,200
279,R9XSSEzwkmwwwqB76K7s2A,1,20,100
280,XZ5eG2IEqu_MuZyTZTcpSg,5,100,500
281,L9qDnDHSnINNjePwrJz-uQ,5,100,500
282,jJDKPJLzkoPeytWIzstJrA,3,60,300
283,gMN6VKmu4E1EmlMYzz9A3w,5,100,500
284,bKoLvj4R8OUE2tFiqDvv_w,5,100,500
285,jcsan4Rl4RARDIuv7tXz5Q,5,100,500
286,wl0QZqAzr1DelslQ02JGCQ,5,100,500
287,iPxaFtUXxOlJ-0hMHCM7wg,5,100,500
288,oGlIOWdOcAkq4_8IShjQgA,5,100,500
289,qOd7QUh-sIB7zN7RbP1-qw,5,100,500
290,AOWP-Th_u8C3qLfOlaC0ng,5,100,500
291,0HgLKI1T9WT3hJXskDtUrQ,5,100,500
292,CmgNyXaBPsn6hLLtWPL_qg,4,80,400
293,riM-pBsdqRRVXtAVbLfsxQ,3,60,300
294,1zsM7weLS8fNHomDAqCh4Q,4,80,400
295,yet0Pww_ouW49T7V41ecSw,5,100,500
296,1wiv2BvvauMj8hS16UuEYw,4,80,400
297,-cBQKodqi77Q0vk-9iDvQA,5,100,500
298,xAVj_vQj9eTHorWMxY4CPQ,5,100,500
299,M8Fp8K23OeMS4dr35vbfjw,5,100,500
300,JzOp695tclcNCNMuBl7oxA,5,100,500
301,CmgNyXaBPsn6hLLtWPL_qg,5,100,500
302,Z890syqhhoShqFnIyIu9EA,1,20,100
303,Athxc1MbotCHRpKOPNnBuw,3,60,300
304,MEJsTLArqRJgHob7lhgSzw,2,40,200
305,vhIJ91MDgUuk4Cr9Kpj1Nw,5,100,500
306,1UweGrt6mgiTCfsmLMiUxg,1,20,100
307,bh0dRmSXjNWZLRys2VmW6A,4,80,400
308,D3ehpx1uKG5aLuaJgztYDg,3,60,300
309,y4HQ7UaBJaa7LwgDqfFWgA,4,80,400
310,hAioxEk3WU-SzlqIM4TI7w,4,80,400
311,pdF7iJgA4ViACgA4t1OymQ,1,20,100
312,dEq4Yj50tWOSzxqXloahsw,5,100,500
313,ZUz_qc4z8bTOGUoa644eQQ,5,100,500
314,SWhHaWFuijy_KDs0zVCJog,3,60,300
315,SOwXfqwUr6NWmbBS0tx_GA,4,80,400
316,nR6190BfeXH5qmk3f4jwCA,5,100,500
317,5EIJCSrXLHvM2HEoKCejpw,2,40,200
318,nBJvxIwO1wU2DVqyQMczng,5,100,500
319,JzOp695tclcNCNMuBl7oxA,2,40,200
320,fckUjXz1GKpafT4x7-MVJA,3,60,300
321,366FaRQ1MWEHBhaEKTcriQ,3,60,300
322,dEV7S-n0HNipS5XUFAaK8w,5,100,500
323,MAUTYES01tZGlZzAOCSnng,4,80,400
324,5FIOXmUE3qMviX9GafGH-Q,4,80,400
325,2q2gGuigGrCFmx3juLAVww,1,20,100
326,DKusRJUxgsye1cdrlGgQOg,5,100,500
327,JR2ma-JU1CO_xVD_p5-RPw,5,100,500
328,prh-RlduJU3z3ynA5lU3Wg,4,80,400
329,ndQTAJzhhkrl1i5ToEGSZw,5,100,500
330,VfX7rhtX03yNg56ISz8gVQ,3,60,300
331,-KsER702IEQF7QOXANuAIg,3,60,300
332,sahppzQJ0HtvMC7L8ILTVg,1,20,100
333,1wiv2BvvauMj8hS16UuEYw,4,80,400
334,Bjn-GQg6hoUOkew7tTPcLA,5,100,500
335,GIhzzb9tjqLCYdNP_k3-dQ,5,100,500
336,y45zdBlXT0Mr0gEfYOzXlw,4,80,400
337,u6_qfV--qVopLy3jhbirjg,5,100,500
338,hRL_qCrcu9UL773su0QabQ,5,100,500
339,BTENr68s2xysZtOAcf6qTg,5,100,500
340,aiX_WP7NKPTdF9CfI-M-wg,5,100,500
341,riM-pBsdqRRVXtAVbLfsxQ,4,80,400
342,SWhHaWFuijy_KDs0zVCJog,4,80,400
343,VJz2DcvX47i-wqlQ0mQEzQ,5,100,500
344,X1twjafYxMCpKt2MqvY5Tw,5,100,500
345,b1s8c1CTlHmLIlNGI9q-mQ,5,100,500
346,p4KtWurOF5MgWipav08Jpg,5,100,500
347,SzHP4_x-ECuBDVK6npb-Ow,3,60,300
348,vuHzLZ7nAeT-EiecOkS5Og,5,100,500
349,_DMrezN4Aq4T_7VmUjdnpg,5,100,500
350,FtLibezRe7HsT13BLpR-Dg,4,80,400
351,ndQTAJzhhkrl1i5ToEGSZw,1,20,100
352,Wnq5to0-jXyh0-_jRZ6VOQ,5,100,500
353,JhEtJbGjAqKDHCZ11i3qoQ,4,80,400
354,yvwK4MO2qnSZE5ggYGyk1A,3,60,300
355,aqMfCbFNeWn1a4Evds83fg,5,100,500
356,rbreGWFCGNnBCEakGY4F0Q,3,60,300
357,P6c0lV9DeJ6ofntpTWyqhA,1,20,100
358,fC6Zkye_Yd_rf7CJZ1C2VQ,5,100,500
359,ZsThT0P2-_qYemYwPJ6qbA,5,100,500
360,ti7UmThnMV34Juvib64FhA,5,100,500
361,zB4TOI3Ci9BOidw55TREbA,4,80,400
362,n43SvzsYHO_4UTC_QwrZKA,5,100,500
363,zI4zrcOIePiEAQTBB2dCHA,5,100,500
364,p-9tfaYQrfz0FlvsOVDVUA,2,40,200
365,ormVt7XAMLy3DP1tGcxUEQ,1,20,100
366,WfXBS8eJP4GGXVTCIIbnkQ,1,20,100
367,5EIJCSrXLHvM2HEoKCejpw,4,80,400
368,gDOuHjntsN37XEjROoQ2Aw,5,100,500
369,gr-10WzRS0GsZ36N9_PTPA,1,20,100
370,u2Z7wvTpZJzQEhfFBS-06g,1,20,100
371,RetPg5rBPO6YoyaCdI51Hg,5,100,500
372,lpD3xIYuVaQA8xRSlKwn-Q,3,60,300
373,MRKRcM5ogwRuFguPPKOKfQ,5,100,500
374,LsmAjC6kThIx_GZtID_FRQ,5,100,500
375,SOwXfqwUr6NWmbBS0tx_GA,4,80,400
376,0pMsVlUu_MbFqmvbA8F79Q,4,80,400
377,ByZcAtm7-QuSCplgXK9PtQ,2,40,200
378,7dtcBJH9qxtxx1PWnzT10A,4,80,400
379,wa8QgXQu1ZxwPgdRl9lYlg,5,100,500
380,ndQTAJzhhkrl1i5ToEGSZw,5,100,500
381,IrXlXhmSHlIllxZSAARjLA,2,40,200
382,3IVCHZaMILY5LZMi-tpCJw,5,100,500
383,HjXI6lKGPVNQ8dYJPtaOCg,5,100,500
384,j-SSlq3__BQr3H7lAyVvkw,5,100,500
385,JzOp695tclcNCNMuBl7oxA,5,100,500
386,7dtcBJH9qxtxx1PWnzT10A,5,100,500
387,gtAMKvGxEbdFgp0ZNBlDbQ,5,100,500
388,giLPHHPabZycyoNHoP35Sw,5,100,500
389,u57NiwOgUMb6CFg-meca-w,1,20,100
390,RN0PTeMSF_eaeXN6VV7RwA,4,80,400
391,XvTBQotmJpVPjPNaMM7qLA,5,100,500
392,eKcdE5WHnXBd6Rws-vicZQ,3,60,300
393,fZM_o3kKZ9mR-1pvBeow8A,4,80,400
394,qgAZPDQStZP_Y5XTiQ6UqA,4,80,400
395,iBihgoxc6Ot7m2D4D3z0QA,5,100,500
396,JzOp695tclcNCNMuBl7oxA,5,100,500
397,lI06p86a8stKoXSUPfjtsA,5,100,500
398,Cl5PHhHfOzimUTCWjC5yNA,2,40,200
399,aqMfCbFNeWn1a4Evds83fg,2,40,200
400,Jzth-y32SyvOhJNgbIPTqQ,5,100,500
401,QuybD_bJcAB2CHcpTfREYg,5,100,500
402,CmgNyXaBPsn6hLLtWPL_qg,2,40,200
403,wl0QZqAzr1DelslQ02JGCQ,1,20,100
404,UBQRhqRMW4Sk7kSZvZ1iAQ,1,20,100
405,Gw-ozqLSHoP3BQPKaiXJGg,2,40,200
406,AfN3Z1U6QPEgAb5F2CQm8w,4,80,400
